관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,text
가파초등학교 마라분교장,포토스팟,제주특별자치도 서귀포시 대정읍 마라로 58,제주특별자치도 서귀포시 대정읍 가파리 696,33.11924732,126.2667098,"가파초등학교 마라분교장는 포토스팟입니다. 주소는 제주특별자치도 서귀포시 대정읍 가파리 696이며, 위도는 33.11924732이고, 경도는 126.2667098입니다."
무릉곶자왈,숲,,제주특별자치도 서귀포시 대정읍 무릉리 산 1,33.29155108,126.2625449,"무릉곶자왈는 숲입니다. 주소는 제주특별자치도 서귀포시 대정읍 무릉리 산 1이며, 위도는 33.29155108이고, 경도는 126.2625449입니다."
엉클리틀,관광농원,제주특별자치도 서귀포시 대정읍 보성상로 88,제주특별자치도 서귀포시 대정읍 보성리 989,33.25599076,126.2646735,"엉클리틀는 관광농원입니다. 주소는 제주특별자치도 서귀포시 대정읍 보성리 989이며, 위도는 33.25599076이고, 경도는 126.2646735입니다."
제주곶자왈도립공원,도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,제주특별자치도 서귀포시 대정읍 보성리 산1,33.28319972,126.2736047,"제주곶자왈도립공원는 도립공원입니다. 주소는 제주특별자치도 서귀포시 대정읍 보성리 산1이며, 위도는 33.28319972이고, 경도는 126.2736047입니다."
발자국화석공원,자연명소,제주특별자치도 서귀포시 대정읍 형제해안로 192,제주특별자치도 서귀포시 대정읍 상모리 626-1,33.21735034,126.2931434,"발자국화석공원는 자연명소입니다. 주소는 제주특별자치도 서귀포시 대정읍 상모리 626-1이며, 위도는 33.21735034이고, 경도는 126.2931434입니다."
송악산진지동굴,동굴,,제주특별자치도 서귀포시 대정읍 상모리 194-2,33.20333105,126.2917117,"송악산진지동굴는 동굴입니다. 주소는 제주특별자치도 서귀포시 대정읍 상모리 194-2이며, 위도는 33.20333105이고, 경도는 126.2917117입니다."
송악카트체험장,레포츠시설,제주특별자치도 서귀포시 대정읍 송악관광로 404,제주특별자치도 서귀포시 대정읍 상모리 139,33.20850906,126.2894204,"송악카트체험장는 레포츠시설입니다. 주소는 제주특별자치도 서귀포시 대정읍 상모리 139이며, 위도는 33.20850906이고, 경도는 126.2894204입니다."
알뜨르비행장,문화유적지,,제주특별자치도 서귀포시 대정읍 상모리 1670,33.20471796,126.2715241,"알뜨르비행장는 문화유적지입니다. 주소는 제주특별자치도 서귀포시 대정읍 상모리 1670이며, 위도는 33.20471796이고, 경도는 126.2715241입니다."
섯알오름 ,오름 ,,제주특별자치도 서귀포시 대정읍 상모리 1593-2,33.20647842,126.2812239,"섯알오름 는 오름 입니다. 주소는 제주특별자치도 서귀포시 대정읍 상모리 1593-2이며, 위도는 33.20647842이고, 경도는 126.2812239입니다."
송악산 전망대,전망대 ,,제주특별자치도 서귀포시 대정읍 상모리 산 2-13,33.19848191,126.2939734,"송악산 전망대는 전망대 입니다. 주소는 제주특별자치도 서귀포시 대정읍 상모리 산 2-13이며, 위도는 33.19848191이고, 경도는 126.2939734입니다."
제주 추사관,유적지,제주특별자치도 서귀포시 대정읍 추사로 44,제주특별자치도 서귀포시 대정읍 안성리 1661-1,33.24997529,126.2782283,"제주 추사관는 유적지입니다. 주소는 제주특별자치도 서귀포시 대정읍 안성리 1661-1이며, 위도는 33.24997529이고, 경도는 126.2782283입니다."
제주도예촌,관람,제주특별자치도 서귀포시 대정읍 암반수마농로 433,제주특별자치도 서귀포시 대정읍 영락리 6,33.26490673,126.2355517,"제주도예촌는 관람입니다. 주소는 제주특별자치도 서귀포시 대정읍 영락리 6이며, 위도는 33.26490673이고, 경도는 126.2355517입니다."
초콜릿박물관,박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,제주특별자치도 서귀포시 대정읍 일과리 551-18,33.25703747,126.2299943,"초콜릿박물관는 박물관입니다. 주소는 제주특별자치도 서귀포시 대정읍 일과리 551-18이며, 위도는 33.25703747이고, 경도는 126.2299943입니다."
하모해변,해변,,제주특별자치도 서귀포시 대정읍 하모리 279,33.21129293,126.2608081,"하모해변는 해변입니다. 주소는 제주특별자치도 서귀포시 대정읍 하모리 279이며, 위도는 33.21129293이고, 경도는 126.2608081입니다."
제주커피박물관 Baum,박물관,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,제주특별자치도 서귀포시 성산읍 고성리 2040-1,33.43987825,126.8992088,"제주커피박물관 Baum는 박물관입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 2040-1이며, 위도는 33.43987825이고, 경도는 126.8992088입니다."
대수산봉,오름,,제주특별자치도 서귀포시 성산읍 고성리 2039-1,33.43967057,126.9016368,"대수산봉는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 2039-1이며, 위도는 33.43967057이고, 경도는 126.9016368입니다."
빛의벙커,전시관,제주특별자치도 서귀포시 성산읍 서성일로1168번지 89-17,제주특별자치도 서귀포시 성산읍 고성리 2039-22,33.43964883,126.8998166,"빛의벙커는 전시관입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 2039-22이며, 위도는 33.43964883이고, 경도는 126.8998166입니다."
쿠지홀리데이팜,관광농원,제주특별자치도 서귀포시 성산읍 난산로 50,제주특별자치도 서귀포시 성산읍 난산리 1097,33.40218696,126.8708197,"쿠지홀리데이팜는 관광농원입니다. 주소는 제주특별자치도 서귀포시 성산읍 난산리 1097이며, 위도는 33.40218696이고, 경도는 126.8708197입니다."
아일랜드플라워,농장카페,제주특별자치도 서귀포시 성산읍 서성일로 602,제주특별자치도 서귀포시 성산읍 난산리 2236,33.42432256,126.8496372,"아일랜드플라워는 농장카페입니다. 주소는 제주특별자치도 서귀포시 성산읍 난산리 2236이며, 위도는 33.42432256이고, 경도는 126.8496372입니다."
모구리오름,오름,제주특별자치도 서귀포시 성산읍 서성일로 260,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.40901972,126.8286384,"모구리오름는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 난산리 2960-1이며, 위도는 33.40901972이고, 경도는 126.8286384입니다."
유건에오름,오름,,제주특별자치도 서귀포시 성산읍 난산리 2302,33.41322123,126.8458048,"유건에오름는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 난산리 2302이며, 위도는 33.41322123이고, 경도는 126.8458048입니다."
베니스랜드,테마파크,제주특별자치도 서귀포시 성산읍 서성일로 474,제주특별자치도 서귀포시 성산읍 난산리 2570,33.41527273,126.8407105,"베니스랜드는 테마파크입니다. 주소는 제주특별자치도 서귀포시 성산읍 난산리 2570이며, 위도는 33.41527273이고, 경도는 126.8407105입니다."
김영갑갤러리두모악,갤러리,제주특별자치도 서귀포시 성산읍 삼달로 137,제주특별자치도 서귀포시 성산읍 삼달리 437-5,33.37189885,126.854144,"김영갑갤러리두모악는 갤러리입니다. 주소는 제주특별자치도 서귀포시 성산읍 삼달리 437-5이며, 위도는 33.37189885이고, 경도는 126.854144입니다."
고흐의정원,관람,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,제주특별자치도 서귀포시 성산읍 삼달리 1185-2,33.37335804,126.8437071,"고흐의정원는 관람입니다. 주소는 제주특별자치도 서귀포시 성산읍 삼달리 1185-2이며, 위도는 33.37335804이고, 경도는 126.8437071입니다."
블루마운틴4255,복합문화공간,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주특별자치도 서귀포시 성산읍 삼달리 1510-1,33.38006916,126.8373142,"블루마운틴4255는 복합문화공간입니다. 주소는 제주특별자치도 서귀포시 성산읍 삼달리 1510-1이며, 위도는 33.38006916이고, 경도는 126.8373142입니다."
미천굴,동굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 일출랜드,제주특별자치도 서귀포시 성산읍 삼달리 1010,33.38344811,126.84266,"미천굴는 동굴입니다. 주소는 제주특별자치도 서귀포시 성산읍 삼달리 1010이며, 위도는 33.38344811이고, 경도는 126.84266입니다."
일출랜드,테마파크,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010,33.38342648,126.8415988,"일출랜드는 테마파크입니다. 주소는 제주특별자치도 서귀포시 성산읍 삼달리 1010이며, 위도는 33.38342648이고, 경도는 126.8415988입니다."
성산일출봉,봉우리,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 114,33.45911604,126.9405375,"성산일출봉는 봉우리입니다. 주소는 제주특별자치도 서귀포시 성산읍 성산리 114이며, 위도는 33.45911604이고, 경도는 126.9405375입니다."
성산포항,자연명소,제주특별자치도 서귀포시 성산읍 성산등용로 112-7,제주특별자치도 서귀포시 성산읍 성산리 347-9,33.47343666,126.9332874,"성산포항는 자연명소입니다. 주소는 제주특별자치도 서귀포시 성산읍 성산리 347-9이며, 위도는 33.47343666이고, 경도는 126.9332874입니다."
대왕산,산,,제주특별자치도 서귀포시 성산읍 수산리 1429,33.45612141,126.8729152,"대왕산는 산입니다. 주소는 제주특별자치도 서귀포시 성산읍 수산리 1429이며, 위도는 33.45612141이고, 경도는 126.8729152입니다."
통오름,오름,,제주특별자치도 서귀포시 성산읍 신산리 1754-1,33.39303937,126.8558848,"통오름는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 신산리 1754-1이며, 위도는 33.39303937이고, 경도는 126.8558848입니다."
쇠와꽃승마장,승마장,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 88-17,제주특별자치도 서귀포시 성산읍 고성리 354-1,33.44736091,126.91985,"쇠와꽃승마장는 승마장입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 354-1이며, 위도는 33.44736091이고, 경도는 126.91985입니다."
아쿠아플라넷 제주,아쿠아리움,제주특별자치도 서귀포시 성산읍 섭지코지로 95,제주특별자치도 서귀포시 성산읍 고성리 127-3,33.43287455,126.927681,"아쿠아플라넷 제주는 아쿠아리움입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 127-3이며, 위도는 33.43287455이고, 경도는 126.927681입니다."
붉은오름,오름,제주특별자치도 서귀포시 성산읍 섭지코지로 261,제주특별자치도 서귀포시 성산읍 고성리 57,33.42742537,126.9336425,"붉은오름는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 57이며, 위도는 33.42742537이고, 경도는 126.9336425입니다."
소수산봉,오름,,제주특별자치도 서귀포시 성산읍 고성리 887,33.43675277,126.9122111,"소수산봉는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 887이며, 위도는 33.43675277이고, 경도는 126.9122111입니다."
섭지코지,자연명소,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 87,33.42393671,126.9306049,"섭지코지는 자연명소입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 87이며, 위도는 33.42393671이고, 경도는 126.9306049입니다."
광치기해변,해변,,제주특별자치도 서귀포시 성산읍 고성리 224-33,33.45231781,126.9238923,"광치기해변는 해변입니다. 주소는 제주특별자치도 서귀포시 성산읍 고성리 224-33이며, 위도는 33.45231781이고, 경도는 126.9238923입니다."
아비앙또정원,정원,제주특별자치도 서귀포시 성산읍 남산봉로 235-165,제주특별자치도 서귀포시 성산읍 신풍리 1411,33.36924046,126.8207755,"아비앙또정원는 정원입니다. 주소는 제주특별자치도 서귀포시 성산읍 신풍리 1411이며, 위도는 33.36924046이고, 경도는 126.8207755입니다."
식산봉,오름,,제주특별자치도 서귀포시 성산읍 오조리 313,33.46566816,126.9199326,"식산봉는 오름입니다. 주소는 제주특별자치도 서귀포시 성산읍 오조리 313이며, 위도는 33.46566816이고, 경도는 126.9199326입니다."
오조포구,포구,,제주특별자치도 서귀포시 성산읍 오조리,33.46323452,126.9210375,"오조포구는 포구입니다. 주소는 제주특별자치도 서귀포시 성산읍 오조리이며, 위도는 33.46323452이고, 경도는 126.9210375입니다."
혼인지마을,체험마을,제주특별자치도 서귀포시 성산읍 혼인지로 39-22 혼인지,제주특별자치도 서귀포시 성산읍 온평리 1693,33.41518977,126.8937838,"혼인지마을는 체험마을입니다. 주소는 제주특별자치도 서귀포시 성산읍 온평리 1693이며, 위도는 33.41518977이고, 경도는 126.8937838입니다."
